sep=;
ID;Título;Precio Transferencia;Precio Efectivo
prod-1778194836920;Mouse Gamer Raptor Storm Grip Wireless 12800dpi;$ 27.500,00;$ 25.500,00
prod-1778195022789;Mouse Gamer Raptor Storm Grip Wireless 7 botones 24000dpi RGB Pixart Sensor White;$ 30.000,00;$ 30.000,00
prod-1778195407738;Kit Limpieza P/ Auriculares Teclado Tablet Celulares 7 En 1 Rosa;$ 7.500,00;$ 6.500,00
prod-1778936893389;"Monitor Gamer Raptor Hawk Eye 27"" Frameless IPS FHD 200Hz 1Ms HDMI-DP";$ 265.500,00;$ 265.500,00
prod-1778937108223;"Monitor Gamer Raptor Hawk Eye 24"" Frameless IPS FHD 200Hz 1Ms HDMI-DP";$ 194.500,00;$ 194.500,00
prod-1778944249778;"Monitor Gamer Raptor Hawk Eye 27"" Frameless IPS QHD 200Hz 1Ms HDMI-DP I";$ 306.000,00;$ 306.000,00
prod-1779142645022;MOUSE GENIUS NX-7123 USB BLUE;$ 11.000,00;$ 10.499,00
prod-1779211495368;KIT DE ACTUALIZACION RYZEN 5 8600G 16GB;$ 0,00;$ 0,00
prod-1779212674226;KIT DE ACTUALIZACION RYZEN 5 5600GT 8GB;$ 0,00;$ 0,00
prod-1779212833171;KIT DE ACTUALIZACION RYZEN 5 8600G 8GB;$ 0,00;$ 0,00
prod-1779212996173;KIT DE ACTUALIZACION RYZEN 5 5600GT 16GB;$ 0,00;$ 0,00
prod-1779213286678;KIT DE ACTUALIZACION RYZEN 5 5600GT 8GB ARMOR;$ 0,00;$ 0,00
